"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210314"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 서구"
"읍면동 : 둔산동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202102","1","14,500","4","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","46.86","202102","19","23,100","11","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202102","24","13,000","12","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202103","6","16,400","8","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202103","13","15,850","7","1991","둔산로 241",""
"대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.82","202103","13","16,400","10","1991","둔산로 241",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202101","14","51,000","11","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202101","16","52,000","15","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","59.802","202101","16","34,000","3","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202101","23","44,000","2","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202102","9","53,500","14","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","59.802","202102","16","30,000","1","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202102","20","48,000","3","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202102","20","47,000","5","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202102","27","45,000","3","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202103","4","54,500","11","1998","문예로 174",""
"대전광역시 서구 둔산동","907","0907","0000","샘머리1차","84.945","202103","13","51,900","5","1998","문예로 174",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","4","42,500","2","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","9","51,500","15","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","9","41,000","1","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","11","51,600","10","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","14","40,000","3","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","16","52,000","10","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","19","51,000","20","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","19","42,000","2","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","29","48,800","13","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202101","30","53,900","15","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","1","42,000","2","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","16","51,500","12","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","17","48,300","5","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","18","54,500","5","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","20","47,900","17","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","22","48,200","14","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","24","49,000","20","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","27","49,700","3","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202102","28","45,110","12","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202103","2","50,000","9","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202103","4","47,500","8","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202103","5","52,000","20","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202103","6","46,500","9","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202103","6","45,500","7","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202103","6","47,000","10","1998","청사로 281",""
"대전광역시 서구 둔산동","908","0908","0000","샘머리2차","84.945","202103","11","48,500","19","1998","청사로 281",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","4","32,000","1","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7","202101","12","31,200","15","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7","202101","13","33,800","4","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","16","41,200","9","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","16","40,000","10","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","18","33,500","1","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","20","39,800","9","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","20","42,700","11","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","21","40,000","8","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7","202101","21","34,300","11","1993","청사로 282",""
