시군구,번지,본번,부번,단지명,전용면적,계약연도,계약일,거래금액,층,건축년도,도로명
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,16.5211,201603,18,6650,3,2011,둔지로 52
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,14.3185,201603,24,6700,7,2011,둔지로 52
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,14.3185,201603,24,6500,3,2011,둔지로 52
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,16.5211,201603,28,6650,3,2011,둔지로 52
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,14.5802,201603,31,6600,8,2011,둔지로 52
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,14.5802,201604,13,6600,3,2011,둔지로 52
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,14.5802,201606,16,6600,6,2011,둔지로 52
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,14.3185,201609,4,6700,11,2011,둔지로 52
대전광역시 서구 둔산동,974,974,0,갤러리빌7차,16.5211,201610,31,6500,7,2011,둔지로 52
대전광역시 서구 둔산동,1073,1073,0,갤러리아타운,31.715,201609,20,5850,5,2003,둔지로 19
대전광역시 서구 둔산동,1073,1073,0,갤러리아타운,31.715,201610,14,5950,6,2003,둔지로 19
대전광역시 서구 둔산동,1073,1073,0,갤러리아타운,31.715,201610,20,6000,6,2003,둔지로 19
대전광역시 서구 둔산동,1073,1073,0,갤러리아타운,31.715,201612,29,6000,5,2003,둔지로 19
대전광역시 서구 둔산동,977,977,0,겔러리빌,28.737,201604,28,6800,4,2003,둔지로 46
대전광역시 서구 둔산동,977,977,0,겔러리빌,28.737,201606,28,6670,6,2003,둔지로 46
대전광역시 서구 둔산동,977,977,0,겔러리빌,29.76,201610,24,6800,7,2003,둔지로 46
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201601,7,21800,10,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201601,7,21700,7,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201601,20,24450,7,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201601,27,21600,10,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201602,1,19500,14,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201602,1,22000,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201602,4,18500,1,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201602,18,21000,15,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201602,25,21900,9,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201603,7,20900,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,134.06,201603,15,31300,9,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201603,21,21000,4,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201603,26,23500,5,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201603,28,18900,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201604,4,19000,8,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201604,7,21750,5,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201604,8,20200,10,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201604,20,20650,4,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201604,22,17000,15,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201604,23,22700,7,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201604,29,22000,9,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201605,4,20500,13,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201605,21,16400,1,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,134.06,201605,21,28900,7,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201606,4,20000,4,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201607,1,21900,10,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201607,5,22100,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201607,7,21750,9,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201607,13,22400,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201607,16,23700,10,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201608,6,22900,3,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201608,8,21800,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201608,13,16950,1,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201608,17,22600,13,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201608,19,22000,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,134.06,201608,29,31550,13,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201608,30,22000,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201608,30,22800,9,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201609,5,22600,14,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201609,6,21400,4,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201609,8,22700,12,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201609,9,21000,2,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201609,9,22400,10,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201609,23,23000,3,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,134.06,201609,24,29000,14,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201609,27,23000,13,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,6,24000,8,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201610,7,21000,8,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,7,22000,3,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201610,10,21000,11,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,10,22900,3,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,17,22900,13,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,19,22800,5,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,25,23400,9,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,25,23000,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,25,23700,14,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201610,29,23200,7,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201611,4,25000,8,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201611,5,20800,7,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201611,6,22950,5,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201611,16,21800,15,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201611,17,21500,14,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,134.06,201611,19,30500,7,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201611,21,21300,9,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,134.06,201611,26,33700,8,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,134.06,201612,2,30500,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,77.34,201612,3,22500,6,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화동성,84.35,201612,28,23800,13,1991,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201601,12,27250,2,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201601,22,30200,7,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201601,23,22000,4,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201602,1,20000,11,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201602,3,28100,9,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201602,12,29400,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201602,19,27000,5,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201602,20,22800,1,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201602,26,19400,4,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201603,12,20000,7,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201606,2,23500,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,149.99,201606,18,36800,11,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201607,2,22600,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201607,7,20500,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201607,12,24500,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201607,19,22000,3,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201607,20,31250,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201608,20,20600,11,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201608,25,17800,1,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201608,26,20000,4,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201608,31,23500,7,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201609,3,31800,13,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201609,20,20500,4,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201609,22,23700,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201609,24,20900,5,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201610,7,30800,8,1992,둔산로 201
